Gene 1	Gene 2	Weight	Type	Network
SSU72P7	SSU72P4	0.16666667	Shared protein domains	PFAM
SSU72P7	SSU72P5	0.16666667	Shared protein domains	PFAM
SSU72P7	SSU72P2	0.16666667	Shared protein domains	PFAM
SSU72P3	SSU72P8	0.16666667	Shared protein domains	PFAM
SSU72P3	SSU72P4	0.16666667	Shared protein domains	PFAM
SSU72P3	SSU72P5	0.16666667	Shared protein domains	PFAM
SSU72P3	SSU72P2	0.16666667	Shared protein domains	PFAM
SSU72P3	SSU72P7	0.16666667	Shared protein domains	PFAM
SSU72	SSU72P8	0.16666667	Shared protein domains	PFAM
SSU72	SSU72P4	0.16666667	Shared protein domains	PFAM
SSU72	SSU72P5	0.16666667	Shared protein domains	PFAM
SSU72	SSU72P2	0.16666667	Shared protein domains	PFAM
SSU72	SSU72P7	0.16666667	Shared protein domains	PFAM
SSU72	SSU72P3	0.16666667	Shared protein domains	PFAM

Gene	GO ids
