"data type","highlight","interaction","name","networks","normalized max weight","raw weights","selected","shared interaction","shared name"
"Physical Interactions","1",,"H__sapiens__2_-786524|H__sapiens__2_-774532|Physical Interactions","IREF-spike","0.028592191352774923","0.777248203754425","false",,"H__sapiens__2_-786524|H__sapiens__2_-774532|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-783075|H__sapiens__2_-776881|Physical Interactions","IREF-spike","0.022357824751296513","0.6077736020088196","false",,"H__sapiens__2_-783075|H__sapiens__2_-776881|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-786309|H__sapiens__2_-773657|Physical Interactions","IREF-spike","0.021096211172838837","0.5734779834747314","false",,"H__sapiens__2_-786309|H__sapiens__2_-773657|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-778189|H__sapiens__2_-781386|Physical Interactions","IREF-spike","0.019837108169991114","0.5392506122589111","false",,"H__sapiens__2_-778189|H__sapiens__2_-781386|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-776881|H__sapiens__2_-781386|Physical Interactions","Kristensen-Foster-2012","0.0019838422755706782","0.0923248752951622","false",,"H__sapiens__2_-776881|H__sapiens__2_-781386|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-787412|H__sapiens__2_-774343|Physical Interactions","Kristensen-Foster-2012","0.0028416985852249693","0.1322481483221054","false",,"H__sapiens__2_-787412|H__sapiens__2_-774343|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-774225|H__sapiens__2_-785495|Physical Interactions","Kumar-Maddika-2017","0.007840393226174015","0.18868108093738556","false",,"H__sapiens__2_-774225|H__sapiens__2_-785495|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-784320|H__sapiens__2_-774225|Physical Interactions","Kumar-Maddika-2017","8.161745884782157E-4","0.0196414515376091","false",,"H__sapiens__2_-784320|H__sapiens__2_-774225|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-786281|H__sapiens__2_-784320|Physical Interactions","Kumar-Maddika-2017","0.0010270931918939924","0.024717262014746666","false",,"H__sapiens__2_-786281|H__sapiens__2_-784320|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-780030|H__sapiens__2_-787412|Physical Interactions","Kumar-Maddika-2017","0.005202237261962324","0.12519317865371704","false",,"H__sapiens__2_-780030|H__sapiens__2_-787412|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-775973|H__sapiens__2_-788097|Physical Interactions","Leung-Jones-2014","0.00251425717176919","0.0568070225417614","false",,"H__sapiens__2_-775973|H__sapiens__2_-788097|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-774722|H__sapiens__2_-781844|Physical Interactions","Liu-Varjosalo-2018","9.978458291786118E-5","0.027114322409033775","false",,"H__sapiens__2_-774722|H__sapiens__2_-781844|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-811977|H__sapiens__2_-774722|Physical Interactions","Liu-Varjosalo-2018","2.456761576582164E-4","0.06675723195075989","false",,"H__sapiens__2_-811977|H__sapiens__2_-774722|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-795919|H__sapiens__2_-810558|Physical Interactions","Moutaoufik-Babu-2019","0.0010105683226422177","0.014003402553498745","false",,"H__sapiens__2_-795919|H__sapiens__2_-810558|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-776881|H__sapiens__2_-810558|Physical Interactions","Moutaoufik-Babu-2019","0.002946133455445448","0.04082444682717323","false",,"H__sapiens__2_-776881|H__sapiens__2_-810558|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-776881|H__sapiens__2_-795919|Physical Interactions","Moutaoufik-Babu-2019","0.0018350339412210091","0.025427987799048424","false",,"H__sapiens__2_-776881|H__sapiens__2_-795919|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-773657|H__sapiens__2_-774343|Physical Interactions","Moutaoufik-Babu-2019","0.0015228547646822476","0.02110213413834572","false",,"H__sapiens__2_-773657|H__sapiens__2_-774343|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-782748|H__sapiens__2_-776881|Physical Interactions","Moutaoufik-Babu-2019|Wan-Emili-2015","0.014795039962919717","0.20501424372196198|0.008327069692313671","false",,"H__sapiens__2_-782748|H__sapiens__2_-776881|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-776510|H__sapiens__2_-774343|Physical Interactions","Moutaoufik-Babu-2019","0.015901825283716593","0.22035092115402222","false",,"H__sapiens__2_-776510|H__sapiens__2_-774343|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-776510|H__sapiens__2_-773657|Physical Interactions","Moutaoufik-Babu-2019","0.013801811149181858","0.19125111401081085","false",,"H__sapiens__2_-776510|H__sapiens__2_-773657|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-778972|H__sapiens__2_-810558|Physical Interactions","Moutaoufik-Babu-2019","0.0014518439070556098","0.020118139684200287","false",,"H__sapiens__2_-778972|H__sapiens__2_-810558|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-778972|H__sapiens__2_-795919|Physical Interactions","Moutaoufik-Babu-2019","9.04298158282519E-4","0.01253082137554884","false",,"H__sapiens__2_-778972|H__sapiens__2_-795919|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-778972|H__sapiens__2_-784320|Physical Interactions","Moutaoufik-Babu-2019","9.441159658603311E-4","0.013082575052976608","false",,"H__sapiens__2_-778972|H__sapiens__2_-784320|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-811977|H__sapiens__2_-779589|Physical Interactions","Moutaoufik-Babu-2019","0.021975512799108088","0.30451375246047974","false",,"H__sapiens__2_-811977|H__sapiens__2_-779589|Physical Interactions"
