"source","target","Jaccard_weight","PTP_inter_evidence"
"Axon guidance","Lipid and lipoprotein metabolism",0.001230012300123,0.0255886605392986
"Axon guidance","Lipid and lipoprotein metabolism",0.001230012300123,0.0255886605392986
"Axon guidance","Validated nuclear estrogen receptor alpha network",0,0.0246722421820612
"Lipid and lipoprotein metabolism","Validated nuclear estrogen receptor alpha network",0.0128205128205128,0.00258308502390409
"Axon guidance","Lipid and lipoprotein metabolism",0.001230012300123,0.0255886605392986
"Axon guidance","Lipid and lipoprotein metabolism",0.001230012300123,0.0255886605392986
"Axon guidance","Lipid and lipoprotein metabolism",0.001230012300123,0.0255886605392986
